Order Number,Sample ID,P_F1,P_F2,HR,T,Date,GRAV_PM10_BLK,Remarks,end
90333,,4.5336,4.5340,32.2,20.1,2022/11/14 15:28:03,4.5338,,
90274,,4.4717,4.4733,32.2,20.1,2022/11/14 15:56:20,4.4725,,
9849750,,4.5637,4.5643,35.8,21.3,2022/10/26 18:14:02,4.5640,,
9849751,,4.5601,4.5602,35.8,21.3,2022/10/26 18:15:01,4.5602,,
9849752,,4.5511,4.5511,35.8,21.3,2022/10/26 18:16:18,4.5511,,
9849753,,4.5458,4.5455,36.5,20.7,2022/11/02 15:45:13,4.5457,,
9849754,,4.5554,4.5547,36.5,20.7,2022/11/02 15:46:17,4.5551,,
9849755,,4.5542,4.5541,36.5,20.7,2022/11/02 15:47:58,4.5542,,
9849734,,4.5334,4.5322,40.4,21.2,2022/10/26 14:06:58,4.5328,,
9849735,,4.5747,4.5733,40.4,21.2,2022/10/26 14:08:10,4.5740,,
9849736,,4.5514,4.5501,40.4,21.2,2022/10/26 14:09:22,4.5508,,
9849737,,4.5396,4.5384,40.4,21.2,2022/10/26 14:10:34,4.5390,,
9849738,,4.5801,4.5795,40.4,21.2,2022/10/26 14:11:46,4.5798,,
9849739,,4.5650,4.5641,40.4,21.2,2022/10/26 14:12:58,4.5646,,
9849740,,4.5808,4.5791,35.8,21.3,2022/10/26 18:06:52,4.5800,,
90270,,4.5241,4.5239,32.2,20.1,2022/11/14 16:04:03,4.5240,,
QC,,5.0000,5.0000,43.9,19.4,2022/10/18 13:36:14,5.0000,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
