Order Number,Sample ID,P_F1,P_F2,HR,T,Date,GRAV_PM10_BLK,Remarks,end
9855969,,4.4363,4.4372,40.5,20.0,2022/11/03 10:06:20,4.4368,,
9855970,,4.4367,4.4377,40.5,20.0,2022/11/03 10:07:03,4.4372,,
9855971,,4.4440,4.4441,40.5,20.0,2022/11/03 10:07:43,4.4441,,
9861263,,4.5566,4.5547,35.4,21.1,2022/10/24 10:22:43,4.5557,,
QHV-05385,,4.3238,4.3230,,,2022/11/24 10:00:35,4.3234,,
QHV-05386,,4.3067,4.3060,,,2022/11/24 10:00:39,4.3064,,
QHV-05387,,4.3021,4.3011,,,2022/11/24 10:00:41,4.3016,,
QHV-05067,,4.2948,4.2940,34.2,22.4,2022/10/20 16:52:50,4.2944,,
QHV-05243,,4.5958,4.5951,41.6,19.6,2022/11/15 16:07:32,4.5955,,
QHV-05244,,4.5975,4.5969,41.6,19.6,2022/11/15 16:09:39,4.5972,,
QHV-05230,,4.3218,4.3202,41.6,19.6,2022/11/15 15:40:56,4.3210,,
QHV-05231,,4.3154,4.3141,41.6,19.6,2022/11/15 15:43:08,4.3148,,
QHV-05204,,4.2948,4.2940,36.6,20.9,2022/10/25 12:59:59,4.2944,,
QHV-05205,,4.2425,4.2421,36.6,20.9,2022/10/25 13:00:45,4.2423,,
QHV-05191,,4.2837,4.2827,36.6,20.9,2022/10/25 12:47:06,4.2832,,
QHV-05192,,4.2991,4.2984,36.6,20.9,2022/10/25 12:48:01,4.2988,,
QHV-05217,,4.3281,4.3267,33.6,20.2,2022/11/14 16:30:38,4.3274,,
QHV-05218,,4.3259,4.3249,33.6,20.2,2022/11/14 16:32:52,4.3254,,
QHV-05256,,4.6163,4.6150,37.3,20.1,2022/11/15 16:56:07,4.6157,,
QHV-05257,,4.6141,4.6133,37.3,20.1,2022/11/15 16:57:26,4.6137,,
QC,,5.0000,5.0000,43.9,19.4,2022/10/18 13:36:14,5.0000,,
