Order Number,Sample ID,P_F1,P_F2,HR,T,Date,GRAV_PM10_BLK,Remarks,end
QHV-05219,,4.3561,4.3552,33.6,20.2,2022/11/14 16:35:45,4.3557,,
QHV-05220,,4.3275,4.3265,33.6,20.2,2022/11/14 16:59:57,4.3270,,
QHV-05245,,4.6056,4.6046,41.6,19.6,2022/11/15 16:11:55,4.6051,,
QHV-05246,,4.6125,4.6118,41.6,19.6,2022/11/15 16:13:38,4.6122,,
QHV-05206,,4.2624,4.2627,36.6,20.9,2022/10/25 13:01:34,4.2626,,
QHV-05207,,4.2553,4.2558,36.6,20.9,2022/10/25 13:02:43,4.2556,,
QHV-05193,,4.2872,4.2876,36.6,20.9,2022/10/25 12:48:58,4.2874,,
QHV-05194,,4.3032,4.3036,36.6,20.9,2022/10/25 12:50:14,4.3034,,
QHV-05232,,4.3013,4.3008,41.6,19.6,2022/11/15 15:45:17,4.3011,,
QHV-05233,,4.3063,4.3059,41.6,19.6,2022/11/15 15:47:35,4.3061,,
QHV-05258,,4.6127,4.6114,37.3,20.1,2022/11/15 17:00:27,4.6121,,
QHV-05259,,4.6132,4.6121,37.3,20.1,2022/11/15 17:02:17,4.6127,,
QC,,5.0000,5.0000,43.9,19.4,2022/10/18 13:36:14,5.0000,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
